County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
Bronx,603423,Store,JAC,LEE UIDUK,STAR CITY FRUIT&VEG,676,ALLERTON AVE,,,BRONX,NY,10467,1200,POINT (-73.86819 40.865415)
Cattaraugus,715176,Store,JABC,PARKVIEW MARKETS LLC,SANDERS PARKVIEW,545,BROAD STREET,,,SALAMANCA,NY,14779,23000,POINT (-78.735338 42.158167)
Albany,736545,Store,JAC,LUCKY DICE MART INC,LUCKY DICE MART,32,N SWAN STREET,,,ALBANY,NY,12210,1500,POINT (-73.752808 42.65958)
Suffolk,741445,Store,JAC,NORTHPORT QUALITY MEATS INC,NORTHPORT QUALITY MEATS,829,FORT SALONGA ROAD,,,NORTHPORT,NY,11768,1200,POINT (-73.331751 40.898643)
Queens,736880,Store,A,WALGREEN EASTERN CO INC,WALGREENS #18246,193-01,NORTHERN BLVD,,,FLUSHING,NY,11358,3000,POINT (-73.787887 40.757951)
Bronx,607283,Store,JAC,TONY FRUITS & GROCERY CORP,TONY FRUITS & GROCERY,1004,E 174TH ST,,,BRONX,NY,10460,1100,POINT (-73.884168 40.836151)
New York,627276,Store,A,DUANE READE ETAL PTRS,DUANE READE 14185,100,DELANCEY ST,,,NEW YORK,NY,10002,8000,POINT (-73.988753 40.718818)
Queens,748479,Store,JAC,CATALPA CONVENIENCE DELI CORP,CATALPA CONVENIENCE DEL,68-47,FRESH POND RD,,,RIDGEWOOD,NY,11385,0,POINT (-73.895691 40.703965)
New York,621033,Store,A,KAMWO MERIDIAN HERB LLC,KAMWO MERIDIAN HERB,209-211,GRAND ST,,,NEW YORK,NY,10013,4000,POINT (-73.996136 40.718928)
Bronx,736483,Store,JAC,WAGGYS DELI & GROCERY CORP,WAGGYS DELI & GROCERY,950,ANDERSON AVENUE,,,BRONX,NY,10452,1200,POINT (-73.928115 40.830973)
Montgomery,270086,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 9357,140,GUY PARK AVE,,,AMSTERDAM,NY,12010,10000,POINT (-74.198068 42.943951)
Nassau,748526,Store,JAC,7-ELEVEN INC,7-ELEVEN STORE #34086H,2950,MERRICK ROAD CNR RIVERSIDE A,,,BELLMORE,NY,11710,0,POINT (-73.517271 40.663405)
Oneida,300505,Store,JAC,MATTESON BRIDGET A&JAMES C,MATTESONS MARKET,12470,RT 28,,,WOODGATE,NY,13494,1800,POINT (-75.154228 43.535424)
Nassau,743491,Store,JAC,TRANSIST NEWS INC,TRANSIST NEWS,88,W COLUMBIA ST,,,HEMPSTEAD,NY,11550,400,POINT (-73.624741 40.711809)
Kings,748670,Store,JAC,SLOPE GROUP LLC THE,TAVOLA ITALIAN MARKET,274,COURT ST,,,BROOKLYN,NY,11231,1500,POINT (-73.99476 40.684723)
Kings,618557,Store,JAC,FLATLAND DELI GROCERY CORP,FLATLAND DELI GROCERY,911,E 107TH ST,,,BROOKLYN,NY,11236,1000,POINT (-73.893022 40.648201)
Yates,570125,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #10301,16,SENECA ST,,,DUNDEE,NY,14837,8500,POINT (-76.975639 42.523436)
St. Lawrence,713858,Store,JAC,J PROULX INC,CANTON SAVE A LOT,5933,NYS ROUTE 11,,,CANTON,NY,13617,0,
Suffolk,471688,Store,JAC,KAM&RICK INC,BP FOOD SHOP,32400,MIDDLE RD RT 48,,,PECONIC,NY,11958,1000,
New York,730690,Store,JAC,LA ESQUINA DELI GROCERY INC,LA ESQUINA DELI GROCERY,2105,3RD AVE,,,NEW YORK,NY,10029,0,POINT (-73.940433 40.797387)
Tioga,495096,Store,JAC,UNITED REFINING CO OF PA INC,KWIK FILL A0050,450,NORTH AVE,,,OWEGO,NY,13827,1940,POINT (-76.269212 42.118457)
Kings,719146,Store,JABH,BAKERY BAKY INC,BAKU BAKERY,1903,AVENUE U,,,BROOKLYN,NY,11229,2000,POINT (-73.952386 40.599284)
Kings,740147,Store,A,EMANUEL DELI GROCERY CORP,EMANUEL DELI GROCERY,6402,BAY PKWY,,,BROOKLYN,NY,11204,800,POINT (-73.980926 40.614332)
Dutchess,731638,Store,JAC,CASTELLANOS LORENA,MUNDO LATINO GROCERY ST,7578,NORTH BROADWAY #1,,,RED HOOK,NY,12571,0,POINT (-73.87331 41.998709)
Onondaga,709748,Store,JAC,ALAMOS FOOD MARKET INC,ALAMOS FOOD MARKET,128,WALTON ST,,,SYRACUSE,NY,13202,1500,POINT (-76.154876 43.04797)
Queens,733101,Store,A,WALGREEN EASTERN CO INC,WALGREENS #19598,63-37,108TH STREET,,,FOREST HILLS,NY,11375,0,POINT (-73.850144 40.733984)
Erie,141693,Store,JAC,SALEH KASIM ALI ABDULLA,COMSTOCK DELI&GROCERY,262,COMSTOCK AVE,,,BUFFALO,NY,14215,1500,POINT (-78.817609 42.943863)
Wayne,745694,Store,JAC,THORNBEE FARMS LLC,THORNBEE FARMS,915,KUTTRUFF,,,WALWORTH,NY,14568,1000,POINT (-77.335363 43.152429)
Orange,331241,Store,A,DOLLAR TREE STORES INC,DOLLAR TREE #4386,174,N MAIN ST,,,FLORIDA,NY,10921,10500,POINT (-74.358751 41.337786)
Nassau,744287,Store,A,2805 GFG EXPRESS LLC,GFG EXPRESS,2805,N JERUSALEM RD,,,EAST MEADOW,NY,11554,300,POINT (-73.531221 40.706429)
Kings,614539,Store,JAC,KINGS VALLEY FRUIT INC,KINGS VALLEY FRUIT,1624-1626,KINGS HWY,,,BROOKLYN,NY,11229,1200,POINT (-73.956768 40.609418)
Chenango,750709,Store,A,SAAM JOSEPH G,HYMN & HAWE COUNTRY STO,43,GENESEE STREET,,,GREENE,NY,13778,0,POINT (-75.770888 42.329813)
